Gross Margin,FB-MM,FB-FC,FB-ATESC,FB-ACD,FB-EXP,FB-FP,FB-PE,Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative
0.835714286,0,0,0,0,0,1,1,1,40,12,7.5,0,10,0,1
0.883333333,0,0,0,1,1,1,0,0,40,9,2.5,0,10,1,0
0.75,0,0,0,1,0,1,0,0,58,12,2.5,0,10,1,0
0.755,0,0,0,1,1,0,0,1,59,12,2.5,0,10,1,0
0.81875,0,0,0,1,0,1,0,0,65,9,2.5,0,10,1,0
0.745,0,0,1,1,0,1,1,0,52,12,7.5,1,10,0,0
0.896666667,0,0,0,1,1,0,1,1,40,12,7.5,0,10,1,1
0.845,0,0,0,1,0,0,0,0,38,9,7.5,0,10,1,0
0.755,0,0,0,1,0,1,1,0,55,12,7.5,0,10,0,0
0.745,0,0,0,0,0,1,1,1,54,9,7.5,0,10,0,0
0.90625,0,0,1,0,1,1,0,0,37,9,2.5,1,10,1,0
0.375,0,0,0,1,0,0,0,0,55,15,2.5,0,10,1,0
0.745,0,0,0,1,0,1,1,0,59,12,2.5,1,10,0,1
0.745,0,0,0,1,0,0,1,0,56,9,7.5,0,10,1,0
0.764285714,0,0,0,0,1,0,0,1,26,9,25,1,4.5,0,1
0.745,0,0,0,1,0,1,1,0,56,9,7.5,0,10,1,0
0.65,0,0,0,0,0,0,1,0,40,9,7.5,0,10,1,1
0.09375,0,0,0,0,0,0,1,0,36,9,2.5,1,10,1,0
0.583333333,0,0,0,0,1,0,0,0,36,6,7.5,0,10,1,0
0.875,0,0,1,1,1,0,0,0,43,9,7.5,0,10,1,0
0.325,0,0,0,0,0,1,1,0,38,9,15,0,10,0,0
0.55,0,0,0,1,1,0,0,1,39,12,15,1,10,1,1
0.83,0,0,1,0,0,0,1,1,27,9,75,1,10,1,0
0.475,0,0,0,0,0,0,1,0,39,9,7.5,0,10,0,0
0.375,0,0,0,1,0,0,1,1,57,12,2.5,0,10,1,0
0.525,0,0,1,0,0,0,0,1,50,6,350,1,4.5,1,1
0.677777778,0,1,0,0,0,1,0,1,35,9,7.5,0,7.5,1,0
0.6625,0,0,0,0,0,1,1,0,40,6,7.5,0,7.5,0,0
0.935,0,0,0,0,0,1,0,0,34,9,7.5,1,10,1,0
0.84375,0,0,0,0,0,1,0,0,38,12,40,1,10,1,0
0.86875,0,0,0,0,1,0,1,1,46,9,7.5,0,10,1,0
0.716666667,0,0,0,0,0,0,1,0,38,9,15,0,10,1,0
0.808333333,0,0,0,0,1,0,1,1,58,12,7.5,1,10,1,1
0.81,1,0,0,1,1,0,0,1,42,9,15,0,10,1,0
0.855,0,0,0,0,1,0,1,1,48,12,15,0,10,0,0
0.86875,0,0,0,1,0,1,0,0,53,9,2.5,0,10,1,0
0.936666667,0,0,0,0,0,0,1,0,52,12,7.5,0,10,1,0
0.835714286,0,0,0,1,0,1,0,0,53,12,2.5,0,10,1,0
0.806666667,0,0,0,0,1,0,1,0,51,9,15,1,10,1,1
0.583333333,0,0,0,1,1,0,1,0,38,9,2.5,0,10,1,0
0.75,1,0,0,1,1,0,0,0,45,12,7.5,1,7.5,1,1
0.916666667,0,0,0,0,1,0,0,0,37,16,7.5,1,4.5,1,0
0.93,0,0,0,1,1,0,0,0,65,6,2.5,1,4.5,1,1
0.85,0,0,0,1,0,0,0,1,40,9,2.5,0,10,0,0
0.65,0,0,1,0,0,0,0,1,40,12,7.5,1,10,0,0
0.683333333,0,0,0,1,0,0,1,1,65,9,7.5,0,10,1,0
0.935,0,0,0,0,1,1,0,0,37,9,7.5,0,10,1,0
0.783333333,0,0,1,1,0,1,0,1,42,9,7.5,0,10,1,0
0.583333333,0,0,1,1,0,0,0,0,38,12,7.5,1,10,1,1
0.86,0,0,0,1,0,1,0,0,50,9,2.5,0,7.5,1,0
0.85,0,0,0,0,1,0,1,0,45,6,7.5,0,7.5,1,0
0.858333333,0,0,1,0,1,0,0,1,40,9,7.5,0,7.5,0,0
0.83,0,0,0,0,1,1,0,1,49,9,7.5,1,10,1,1
0.83,0,0,0,0,1,0,1,0,45,9,7.5,0,7.5,1,0
0.8125,0,0,0,0,1,0,1,0,49,6,7.5,0,7.5,0,1
0.87,0,0,0,1,1,0,0,0,50,6,7.5,0,7.5,1,1
0.875,0,0,0,0,1,0,1,1,35,9,15,0,7.5,1,1
0.86875,0,0,1,0,0,1,0,1,49,9,7.5,1,4.5,1,1
0.7875,0,0,0,0,1,0,1,0,41,9,7.5,0,7.5,1,0
0.8375,0,0,0,0,1,0,1,1,45,9,15,0,10,1,1
0.87,0,0,0,0,1,0,1,0,49,9,7.5,0,7.5,1,1
0.8625,0,0,0,0,1,0,1,1,48,6,7.5,0,7.5,1,1
0.783333333,0,0,1,0,0,1,0,0,42,6,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,0,1,1,46,6,7.5,0,7.5,1,1
0.8375,0,0,0,1,1,0,0,1,50,9,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,1,0,0,40,6,7.5,0,7.5,0,1
0.8625,0,0,0,0,1,1,0,0,50,6,15,0,7.5,0,1
0.8375,0,0,0,0,1,0,1,0,45,6,7.5,1,7.5,1,0
0.932142857,0,0,0,1,0,0,0,1,48,16,2.5,0,7.5,0,0
0.876666667,0,0,0,1,0,1,0,1,31,15,15,0,10,1,0
0.81875,0,0,0,0,0,1,0,1,35,12,2.5,0,4.5,0,0
0.808333333,0,1,0,1,1,1,0,1,55,9,2.5,0,2,1,1
0.65,0,1,0,0,1,0,0,1,41,9,15,1,4.5,1,1
0.721428571,0,0,0,0,0,1,0,1,25,16,2.5,0,10,1,0
0.83125,0,1,0,1,1,0,0,1,35,12,2.5,1,10,1,1
0.88125,0,1,1,1,1,0,0,1,53,9,7.5,1,10,1,1
0.825,0,0,0,1,1,0,0,1,62,6,2.5,0,10,1,1
0.855,0,1,0,1,0,1,0,1,40,12,2.5,0,10,0,0
0.83125,0,1,0,1,1,1,0,1,55,9,2.5,0,10,1,1
0.883333333,1,0,0,0,1,0,0,1,30,15,2.5,0,10,0,1
0.83125,0,0,0,0,1,1,1,1,51,9,2.5,1,10,1,1
0.83125,0,0,0,1,1,0,1,1,49,9,2.5,0,10,0,1
0.83125,0,0,0,1,1,1,0,1,48,9,2.5,0,10,1,1
0.86875,0,0,0,0,1,1,1,1,47,9,2.5,0,10,1,1
0.808333333,0,0,0,1,1,1,1,1,36,12,2.5,0,10,0,0
0.904166667,0,0,0,1,0,0,0,0,38,9,7.5,0,4.5,1,0
0.625,1,0,1,0,1,0,0,1,32,9,7.5,1,2,0,1
0.95625,0,0,1,0,1,0,0,1,33,15,900,1,4.5,1,1
0.952083333,0,0,1,0,1,0,0,1,48,15,15,1,4.5,1,0
0.961666667,0,0,1,0,1,0,0,1,50,16,25,1,7.5,1,0
0.9475,0,0,1,0,1,0,0,1,57,9,7.5,1,4.5,1,0
0.920833333,1,0,0,0,1,1,1,1,31,9,2.5,0,10,1,1
0.895,1,0,1,0,1,0,0,1,35,16,2.5,1,4.5,0,0
0.872222222,0,0,0,0,0,1,1,1,60,9,15,1,10,0,1
0.8875,0,0,0,0,1,1,0,0,45,9,7.5,0,7.5,1,1
0.83125,0,0,0,1,1,0,0,1,48,9,2.5,0,10,1,1
0.8375,0,0,0,0,1,0,1,0,48,12,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,0,1,1,46,6,7.5,0,7.5,1,1
0.83125,0,0,0,1,1,0,0,1,47,9,2.5,0,10,1,1
0.816666667,0,0,0,0,1,0,1,0,52,6,7.5,0,7.5,0,1
0.83125,0,0,0,1,1,1,0,1,44,9,2.5,0,10,1,1
0.816666667,0,0,0,0,1,0,1,1,55,6,7.5,1,7.5,1,1
0.745,0,0,0,0,0,1,1,0,35,16,7.5,0,7.5,0,0
0.892857143,0,1,0,1,0,1,0,1,47,9,2.5,0,10,1,1
0.83125,0,0,0,1,1,1,0,1,45,9,2.5,0,10,1,1
0.853846154,0,0,0,1,0,0,1,1,57,6,2.5,1,10,0,1
0.83125,0,0,0,1,1,1,0,1,48,9,2.5,0,10,1,1
0.783333333,0,0,0,0,0,1,1,1,55,6,7.5,1,7.5,0,1
0.823076923,1,0,0,0,0,1,1,1,40,12,2.5,0,7.5,0,0
0.8375,0,0,0,0,0,1,1,1,30,9,7.5,0,7.5,1,1
0.83125,0,0,0,0,0,1,0,1,40,9,7.5,0,10,1,0
0.845,0,0,0,0,0,1,0,1,32,9,15,0,10,1,0
0.8625,0,0,0,0,1,1,0,1,45,9,7.5,0,10,0,1
0.816666667,0,0,0,0,1,1,0,0,55,9,7.5,0,7.5,1,1
0.739583333,1,0,0,0,1,1,0,1,45,9,7.5,0,2,0,1
0.783333333,0,0,0,0,1,0,1,0,55,6,7.5,1,7.5,0,1
0.8375,0,0,0,0,1,0,1,1,55,6,7.5,1,7.5,0,1
0.916666667,0,0,0,0,0,1,0,1,25,16,15,1,2,0,0
0.883333333,0,0,0,0,1,0,0,1,30,19,2.5,1,2,0,0
0.583333333,0,0,0,1,0,0,0,1,26,15,15,1,4.5,1,1
0.8375,0,0,0,0,1,0,1,0,45,6,7.5,1,7.5,1,1
0.783333333,0,0,0,0,1,0,1,0,56,9,7.5,1,7.5,0,1
0.921428571,0,0,0,1,0,0,0,1,56,9,7.5,1,4.5,1,0
0.75,0,0,0,1,0,0,0,1,50,9,7.5,0,7.5,1,0
0.8625,1,0,0,0,0,0,0,1,35,15,15,1,2,0,0
0.8375,0,0,0,1,0,0,0,0,48,9,2.5,0,7.5,1,0
0.716666667,0,0,0,1,0,0,0,1,60,9,2.5,1,4.5,1,1
0.716666667,0,0,0,1,0,0,0,1,56,9,7.5,1,7.5,1,1
0.8125,0,0,0,0,0,1,0,1,25,9,2.5,0,10,0,0
0.75,0,0,0,1,0,0,0,0,50,9,2.5,0,7.5,1,0
0.75,0,0,0,1,0,0,0,1,58,9,2.5,0,4.5,1,0
0.625,0,0,0,1,0,0,0,1,52,9,2.5,0,4.5,1,0
0.8375,0,0,0,1,0,1,0,1,66,9,2.5,1,4.5,0,0
0.425,0,0,0,0,0,1,1,1,45,9,7.5,0,10,0,0
0.778571429,0,0,1,0,1,0,0,0,43,9,7.5,0,10,1,0
0.80625,0,0,1,0,1,0,0,1,48,12,7.5,1,10,1,1
0.741666667,0,0,1,0,0,0,1,0,39,9,7.5,0,10,0,0
0.88125,0,0,0,1,0,1,0,1,55,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,1,0,52,9,2.5,0,4.5,0,0
0.807142857,0,0,1,0,1,0,0,1,50,12,2.5,0,10,1,0
0.875,0,1,1,0,1,1,0,0,42,9,2.5,1,7.5,1,0
0.815,0,0,0,1,1,1,0,0,48,9,7.5,1,10,1,0
0.903333333,1,0,0,0,0,0,0,1,45,12,2.5,0,10,0,1
0.879166667,0,0,1,0,1,0,0,1,57,9,2.5,0,10,1,1
0.828947368,0,0,0,1,0,1,1,0,58,12,2.5,0,7.5,0,0
0.879166667,0,0,1,0,1,0,0,1,45,9,2.5,0,7.5,1,0
0.69,0,1,0,0,0,0,1,1,24,16,2.5,0,4.5,1,0
0.814285714,0,0,0,1,0,1,0,1,75,9,2.5,0,7.5,0,0
0.715789474,0,0,0,0,0,1,0,0,40,9,7.5,0,2,0,0
0.855555556,0,0,0,1,0,1,0,1,52,12,2.5,0,4.5,0,0
0.845,0,1,0,0,0,1,0,1,48,9,2.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,66,9,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,1,1,64,9,15,0,10,0,0
0.8375,0,0,0,1,0,1,0,0,31,15,7.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,31,16,2.5,0,7.5,0,0
0.8125,0,0,0,1,0,1,0,0,57,9,7.5,0,10,1,1
0.8375,0,0,0,1,0,1,0,1,45,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,0,62,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,60,9,2.5,0,4.5,0,0
0.855555556,0,0,0,1,0,1,0,1,63,12,2.5,0,4.5,0,0
0.87,0,0,0,1,0,1,1,1,67,9,2.5,0,4.5,0,0
0.79,0,0,1,0,0,0,0,1,29,15,900,1,7.5,1,1
0.7875,0,0,0,0,1,0,0,0,46,12,7.5,1,7.5,0,0
0.8375,0,0,0,1,0,1,1,1,62,9,2.5,0,4.5,0,0
0.954166667,0,0,1,0,1,0,0,1,29,15,2000,1,2,1,0
0.9425,0,1,1,1,1,0,0,1,26,16,1500,1,2,1,0
0.678571429,0,0,1,0,1,0,0,0,26,15,2000,1,2,1,1
0.73,1,1,1,0,1,0,0,1,27,16,1500,1,4.5,1,1
0.85,0,0,0,1,0,0,0,0,56,9,7.5,0,7.5,1,0
0.83,0,0,0,0,1,1,1,1,65,6,7.5,0,2,0,1
0.8375,0,0,0,1,0,1,0,0,62,9,2.5,0,4.5,0,0
0.75,1,1,1,0,1,0,0,1,27,15,1500,1,4.5,1,1
0.9125,0,0,1,0,1,0,0,1,32,15,2000,1,2,1,0
0.94375,0,0,0,0,1,0,0,1,27,12,2000,1,2,1,0
0.75,0,0,0,0,1,0,0,1,42,12,2000,1,2,1,0
0.80625,0,0,1,0,1,0,0,1,33,15,2000,1,2,1,1
0.3,0,0,1,0,1,0,0,1,57,15,1500,1,2,1,0
0.45,1,0,1,0,1,0,0,1,61,12,1500,1,2,0,1
0.566666667,0,0,1,0,1,0,0,1,57,15,1500,1,2,1,0
0.858333333,0,0,1,1,1,0,0,1,48,16,2000,1,2,1,1
0.825,0,0,1,0,1,0,0,1,50,12,2000,1,4.5,1,0
0.8375,0,0,0,1,0,1,0,1,58,12,2.5,0,4.5,0,0
0.8375,1,0,0,1,0,1,0,1,58,12,2.5,0,7.5,0,0
0.925,0,0,0,0,1,0,0,1,29,16,1500,1,2,0,1
0.783333333,0,0,1,0,0,0,0,1,60,12,2.5,0,7.5,0,0
0.8375,0,0,0,1,1,1,0,0,50,9,2.5,0,4.5,0,0
0.35,0,0,0,1,0,0,0,0,59,9,2.5,0,4.5,0,0
0.416666667,0,0,0,1,0,0,0,0,23,16,2.5,0,7.5,0,0
0.675,0,0,0,0,0,1,0,1,51,12,2.5,0,4.5,0,0
0.922619048,0,0,1,0,0,0,0,0,52,9,2.5,0,10,1,0
0.75,0,0,0,0,1,0,0,1,52,15,350,1,7.5,1,0
0.8375,0,0,0,1,0,1,0,1,33,15,2.5,0,4.5,0,0
0.575,0,0,0,0,0,0,1,0,56,9,2.5,0,10,0,0
0.8375,0,0,0,1,0,1,0,1,65,9,40,0,4.5,0,0
0.855555556,0,0,0,1,0,1,0,1,56,12,400,0,4.5,0,0
0.965,0,0,0,0,1,0,1,1,63,6,2.5,1,4.5,0,1
0.7,0,0,0,0,1,1,1,1,36,12,15,0,2,0,0
0.75,0,0,0,1,0,1,0,0,39,9,7.5,0,4.5,1,0
0.778846154,0,0,0,0,0,1,1,1,56,6,2.5,0,2,1,0
0.77,0,0,1,1,0,0,1,1,42,9,7.5,1,4.5,0,0
0.73,0,0,0,0,0,1,1,0,46,9,15,0,4.5,1,0
0.8375,0,0,0,1,0,1,0,1,45,12,2.5,0,4.5,0,0
0.77,0,0,0,1,0,1,1,0,50,9,2.5,0,2,0,0
0.739583333,0,0,0,0,0,1,1,1,55,9,2.5,0,4.5,1,0
0.677777778,0,0,0,0,0,1,1,0,40,12,7.5,0,4.5,1,0
0.8375,0,0,0,1,0,1,0,0,40,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,55,12,2.5,0,4.5,0,0
0.855555556,0,0,0,1,0,1,0,0,62,12,2.5,0,4.5,0,0
0.855555556,0,0,0,1,0,1,0,0,60,9,2.5,0,4.5,0,0
0.45,1,0,0,0,1,0,1,1,59,12,2.5,0,10,1,0
0.75,0,0,0,1,0,1,1,1,48,6,2.5,0,2,1,0
0.739583333,1,0,1,0,0,0,0,0,30,15,15,1,4.5,0,1
0.75,0,0,0,1,0,1,1,0,51,9,2.5,0,2,0,0
0.75,1,0,0,1,1,0,0,1,42,6,7.5,0,4.5,1,0
0.90625,0,0,0,0,0,0,1,1,45,6,2.5,0,4.5,1,0
0.8375,0,0,0,1,0,0,0,0,30,9,7.5,0,4.5,0,0
0.583333333,0,1,0,0,0,0,0,1,60,12,7.5,1,10,1,0
0.8375,0,0,1,0,1,1,0,1,48,15,75,0,4.5,0,0
0.4875,0,0,0,0,1,0,0,0,42,9,2.5,0,2,0,0
0.855555556,0,0,1,1,0,0,0,0,58,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,43,12,2.5,0,4.5,0,0
0.609090909,0,0,0,0,1,0,0,1,47,9,7.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,57,15,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,0,50,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,65,9,2.5,0,4.5,0,0
0.8375,0,0,0,1,1,0,0,0,45,12,2.5,0,4.5,0,0
0.8375,0,0,0,0,1,0,1,1,45,6,7.5,0,7.5,1,1
0.87,0,0,0,0,1,0,1,1,50,6,7.5,1,7.5,0,1
0.8625,0,0,0,0,1,0,1,0,65,15,7.5,1,4.5,0,1
0.783333333,0,0,0,0,1,0,1,0,41,9,7.5,1,7.5,0,1
0.8375,0,0,0,0,1,0,1,1,50,6,7.5,1,7.5,0,1
0.7125,1,0,0,0,1,1,0,0,36,12,7.5,1,4.5,0,0
0.816666667,0,0,0,0,1,0,1,1,45,6,7.5,1,7.5,0,1
0.8375,0,0,0,1,0,1,0,1,29,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,0,57,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,50,9,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,0,0,0,45,12,7.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,1,59,12,7.5,0,7.5,0,0
0.855555556,0,0,0,1,0,1,0,1,65,15,2.5,0,7.5,0,0
0.855555556,0,0,0,1,1,0,0,1,54,9,2.5,0,4.5,0,0
0.8125,0,0,0,1,0,1,0,0,48,12,2.5,0,7.5,0,0
0.855555556,0,0,0,1,0,1,0,0,48,9,2.5,0,4.5,0,0
0.855555556,0,0,0,1,0,1,0,1,36,16,2.5,0,4.5,0,0
0.7875,0,0,0,1,0,1,0,1,43,12,2.5,1,4.5,0,0
0.8375,0,0,0,1,0,1,0,0,85,12,2.5,0,4.5,0,0
0.855555556,1,0,0,1,0,0,0,0,48,12,900,0,4.5,0,0
0.8375,0,0,0,1,0,0,0,0,40,9,2.5,0,7.5,0,0
0.848837209,0,0,1,1,0,1,0,0,50,12,2.5,0,7.5,0,0
0.855555556,0,0,0,1,0,1,0,1,58,12,2.5,0,4.5,0,0
0.91,0,0,0,1,0,0,0,0,51,9,75,1,4.5,1,1
0.8375,0,0,0,1,0,1,0,1,56,12,7.5,0,4.5,0,0
0.8375,0,0,1,1,0,1,0,1,71,9,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,0,0,30,12,2.5,0,4.5,0,0
0.69,0,0,1,0,1,0,0,0,48,9,7.5,0,10,1,0
0.8375,1,0,0,1,0,0,0,1,56,9,2.5,0,7.5,0,0
0.845238095,0,0,0,1,0,1,0,0,52,9,2.5,0,4.5,0,0
0.8375,0,1,0,1,0,1,0,1,45,15,2.5,0,7.5,0,1
0.8375,0,1,0,1,0,1,0,0,56,12,2.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,56,12,2.5,0,4.5,0,0
0.828947368,0,0,0,1,0,1,0,1,64,12,2.5,0,7.5,0,0
0.855555556,0,0,0,1,0,1,0,0,33,16,2.5,0,4.5,0,0
0.8125,0,0,0,1,1,0,0,0,50,12,2.5,0,4.5,0,0
0.802631579,0,0,0,1,0,1,0,1,62,9,2.5,0,4.5,0,0
0.8625,1,0,0,0,0,1,1,0,30,16,7.5,1,4.5,1,1
0.8375,0,0,1,0,0,1,1,1,32,16,2.5,0,4.5,0,1
0.575,0,0,0,1,0,0,1,1,45,15,2.5,1,4.5,0,0
0.774509804,0,0,0,1,1,0,0,1,55,9,15,0,7.5,1,0
0.695121951,0,0,0,0,0,0,1,1,48,9,7.5,0,2,0,0
0.875,1,0,1,0,0,0,0,0,56,6,2.5,0,4.5,1,0
0.817307692,0,0,0,0,0,1,1,0,56,6,15,0,4.5,0,1
0.677777778,0,0,1,0,1,0,0,1,52,9,7.5,0,7.5,1,0
0.766666667,1,1,0,0,0,0,0,1,48,9,2.5,1,2,1,1
0.71,0,0,0,0,1,1,1,0,56,6,7.5,1,4.5,0,0
0.7875,0,0,0,0,0,1,1,1,49,12,2.5,1,4.5,1,0
0.91,0,1,1,0,1,0,0,1,59,15,2.5,1,10,0,1
0.325,0,0,0,0,0,0,1,1,52,15,400,1,7.5,0,0
0.960416667,0,0,0,0,0,1,0,1,59,12,7.5,1,10,1,1
0.794117647,0,0,1,0,1,1,0,1,53,9,2.5,1,10,0,0
0.6125,0,0,1,1,0,1,0,1,58,12,7.5,0,10,1,0
0.817647059,0,0,1,0,0,0,0,1,38,9,7.5,1,4.5,1,0
0.845,0,0,0,1,0,1,0,1,60,12,15,1,7.5,1,0
0.892857143,0,0,0,0,0,1,0,0,56,6,2.5,0,10,1,1
0.90625,0,0,0,1,0,0,1,1,54,6,7.5,0,7.5,1,0
0.892857143,1,0,0,1,1,0,0,1,56,9,7.5,0,7.5,1,0
0.892857143,0,0,0,0,0,0,1,1,57,6,2.5,0,10,1,0
0.925,1,0,0,1,1,0,0,1,56,9,7.5,0,10,1,1
0.90625,0,0,0,0,0,0,1,1,62,9,2.5,1,7.5,1,0
0.915,1,0,0,0,0,0,0,1,58,6,7.5,0,7.5,1,0
0.869230769,0,0,0,0,0,0,1,1,57,9,15,0,10,1,0
0.892857143,1,0,0,1,1,0,0,1,59,9,7.5,0,7.5,1,0
0.925,0,0,0,0,0,0,1,1,48,12,15,0,10,1,1
0.88125,0,0,0,1,0,0,0,1,45,9,15,1,7.5,1,0
0.90625,0,0,0,0,0,0,1,0,54,15,7.5,1,7.5,1,0
0.916666667,0,0,0,1,0,0,1,1,46,12,7.5,1,10,1,0
0.878571429,0,0,0,1,0,0,0,1,44,9,25,1,7.5,1,0
0.915,0,0,0,1,0,0,1,1,56,9,15,1,10,1,1
0.9375,0,0,0,0,0,0,1,1,55,6,15,1,7.5,1,0
0.915,0,0,0,1,0,0,1,1,58,6,25,0,10,1,1
0.89375,1,0,0,1,1,0,0,1,53,9,15,1,7.5,1,1
0.89375,0,0,0,1,0,0,0,1,59,9,40,1,10,1,1
0.89375,0,0,0,0,0,0,1,1,56,9,15,1,10,1,0
0.89375,0,0,0,1,0,0,1,1,62,6,7.5,1,10,1,1
0.90625,0,0,0,0,0,0,1,1,54,9,7.5,1,7.5,1,0
0.892857143,0,0,0,1,0,0,0,1,35,12,15,0,7.5,1,1
0.89375,1,0,0,1,1,0,0,1,50,6,15,0,7.5,1,1
0.905555556,0,0,0,0,0,0,1,1,54,9,15,0,10,1,0
0.915,0,0,0,1,0,0,1,1,53,9,7.5,0,7.5,1,1
0.89375,1,0,0,1,1,0,1,1,55,12,25,0,7.5,1,1
0.905,0,0,0,1,0,0,0,1,52,6,40,1,10,1,1
0.915,1,0,0,1,0,0,0,1,45,15,25,1,10,1,1
0.915,1,0,0,1,0,0,0,1,62,6,75,1,10,1,1
